cast,clanek,zakon,bod,typ,paragrafy,instrukce,plny_text_znaků
PRVNÍ,I,283/2021,74,zneni_plny,27;193,V § 27 odst. 2 písmeno f) zní: „f) uděluje souhlas k možnosti odchýlit se od územně plánovací dokumentace nebo územního opatření podle § 193 odst. 2.“.,118
PRVNÍ,I,283/2021,75,zneni_plny,28,"§ 28 včetně nadpisu zní: „§ 28 Působnost na území hlavního města Prahy Hlavní město Praha v samostatné působnosti pro své území zpracovává, pořizuje, schvaluje a vydává zásady územního rozvoje, územní plán, regulační plán, územní studii a územní opatření, poskytuje údaje pro územně analytické podklady a vykonává další územně plánovací činnosti v zájmu rozvoje hlavního města Prahy v rámci svého prá",474
PRVNÍ,I,283/2021,76,zruseni,29,§ 29 se včetně nadpisu zrušuje.,0
PRVNÍ,I,283/2021,77,zneni_plny,30,"§ 30 včetně nadpisu zní: „§ 30 Obecná ustanovení (1) Působnost ve věcech stavebního řádu vykonávají stavební úřady, kterými jsou úřady rozvoje území, jiné stavební úřady a autorizovaný inspektor. (2) Jinými stavebními úřady jsou Ministerstvo obrany, Ministerstvo vnitra a Ministerstvo spravedlnosti. (3) Úřad je nadřízeným správním orgánem úřadů rozvoje území krajů. Úřady rozvoje území krajů jsou na",869
PRVNÍ,I,283/2021,78,zruseni,30a,§ 30a se včetně nadpisu zrušuje.,0
PRVNÍ,I,283/2021,79,zneni_plny,31;32,"§ 31 a 32 včetně nadpisů znějí: „§ 31 Metodická činnost Jiné ústřední orgány státní správy v rámci své působnosti metodicky podporují výkon působnosti Úřadu v oblastech, ve kterých stavební úřady rozhodují o věcech v působnosti jiných ústředních orgánů státní správy. § 32 Úřad (1) Úřad a) vykonává působnost stavebního úřadu ve věcech vyhrazených a s nimi souvisejících staveb, b) vydává rámcové pov",2322
PRVNÍ,I,283/2021,80,zruseni,32a,§ 32a a 32b se zrušují.,0
PRVNÍ,I,283/2021,81,zneni_plny,33,"§ 33 a 34 včetně nadpisů znějí: „§ 33 Úřad rozvoje území kraje Úřad rozvoje území kraje a) vykonává působnost stavebního úřadu v případech, ve kterých nevykonává působnost Úřad nebo jiný stavební úřad, ve věcech 1. záměrů EIA, 2. silnic I. třídy, 3. výroben z obnovitelných zdrojů energie neuvedených v příloze č. 3 k tomuto zákonu, 4. vodních nádrží s celkovým objemem nad 1000000 m3 nebo s výškou v",1819
PRVNÍ,I,283/2021,82,zruseni,34a,§ 34a se včetně nadpisu zrušuje.,0
PRVNÍ,I,283/2021,83,nahrazeni,35,V § 35 odst. 4 se slova „krajského úřadu nebo obecního stavebního úřadu“ nahrazují slovy „úřadů rozvoje území“.,0
PRVNÍ,I,283/2021,84,nahrazeni,36,V § 36 odst. 1 úvodní části ustanovení se slova „a bezpečnosti“ nahrazují slovy „nebo bezpečnosti“.,0
PRVNÍ,I,283/2021,85,vlozeni,36,V § 36 odst. 1 písm. a) se za slovo „vydává“ vkládají slova „vyjádření pro stavby kategorie I nebo“ a za slovo „stanovisko“ se vkládají slova „pro stavby kategorie II“.,0
PRVNÍ,I,283/2021,86,zneni_plny,36,"V § 36 se doplňují odstavce 4 a 5, které znějí: „(4) Z hlediska dopadů na zajišťování obrany nebo bezpečnosti státu podle odstavce 1 se stavby člení na a) stavbu kategorie 0, nepředstavující zvláštní dopady, b) stavbu kategorie I, představující mírné dopady, c) stavbu kategorie II, představující vyšší dopady. (5) Prováděcí právní předpis stanoví charakteristiku stavby pro její zařazení do kategori",478
PRVNÍ,I,283/2021,87,zneni_plny,37,"§ 37 včetně nadpisu zní: „§ 37 Kvalifikační požadavky (1) Orgány územního plánování a stavební úřady vykonávají činnost prostřednictvím osob splňujících kvalifikační požadavky podle tohoto zákona nebo podle jiných zákonů. (2) Kvalifikační požadavky splňuje dále fyzická osoba, která má a) osvědčení o zvláštní odborné způsobilosti pro úředníky územních samosprávných celků pro správní činnosti v územ",1756
PRVNÍ,I,283/2021,88,zneni_plny,38,"V § 38 odstavce 1 až 4 znějí: „(1) Cílem územního plánování je ve veřejném zájmu vytvářet předpoklady pro využití a udržitelný rozvoj území spočívající ve vyváženém vztahu podmínek pro život lidí a jejich bydlení, práci, podnikání, rekreaci a soudržnost společenství obyvatel území, pro příznivé životní prostředí a pro hospodářský rozvoj, který uspokojuje potřeby současné generace, aniž by ohrožova",1311
PRVNÍ,I,283/2021,89,vlozeni,39,"V § 39 úvodní části ustanovení se za slovo „zájmu“ vkládají slova „rozvíjet a chránit území, a za tím účelem“.",0
PRVNÍ,I,283/2021,90,zneni_plny,39,"V § 39 písmena a) a b) znějí: „a) zjišťovat, posuzovat a vyhodnocovat stav území, potenciál jeho rozvoje, prognózy jeho dalšího vývoje a jeho civilizační, kulturní a přírodní hodnoty, b) stanovovat s ohledem na jeho potenciál, podmínky a hodnoty území koncepci využití a rozvoje území, včetně dlouhodobé urbanistické koncepce sídel, rozvoje bydlení, hospodářství a veřejné infrastruktury s preferencí",490
PRVNÍ,I,283/2021,91,vlozeni,39,"V § 39 písm. c) se za slovo „na“ vkládají slova „potenciál jeho rozvoje,“.",0
PRVNÍ,I,283/2021,92,vlozeni,39,"V § 39 písm. e) se za slovo „pro“ vkládá slovo „efektivní“, slovo „zastavěného“ se nahrazuje slovem „zastavitelného“ a slova „sídel prostřednictvím cílené revitalizace“ se nahrazují slovy „a revitalizací nevyužitých,“.",0
PRVNÍ,I,283/2021,93,vlozeni,39,"V § 39 písm. f) se slova „vyhodnocovat a, je-li to účelné,“ zrušují, za slova „vhodné plochy pro výrobu“ se vkládají slova „ , skladování, distribuci a nakládání s odpady“ a za slova „ ; plochy pro výrobu“ se vkládají slova „ , skladování a distribuci“.",0
PRVNÍ,I,283/2021,94,vlozeni,39,"V § 39 písm. g) se za slovo „bydlení“ vkládají slova „ , příležitosti pro práci a podnikání“.",0
PRVNÍ,I,283/2021,95,zruseni,39,V § 39 se písmeno h) zrušuje. Dosavadní písmena i) až s) se označují jako písmena h) až r).,0
PRVNÍ,I,283/2021,96,zruseni,39,V § 39 písm. o) se slovo „transformačních“ zrušuje a na konci textu písmene se doplňuje slovo „změn“.,0
PRVNÍ,I,283/2021,97,nahrazeni,39,V § 39 písm. q) se slovo „regulovat“ nahrazuje slovem „stanovovat“ a na konci textu písmene se doplňují slova „s přihlédnutím k jedinečnosti a nepřemístitelnosti nerostných zdrojů a jejich významu pro surovinovou bezpečnost a soběstačnost“.,0
PRVNÍ,I,283/2021,98,vlozeni_plny,39;39a,"Za § 39 se vkládá nový § 39a, který včetně nadpisu zní: „§ 39a Politika architektury a stavební kultury (1) Politika architektury a stavební kultury je strategickým dokumentem s celostátní působností, který určuje vizi, cíle a opatření k dosažení kvality vystavěného prostředí. (2) Politika architektury a stavební kultury rozvíjí cíle a úkoly územního plánování a je podkladem pro zpracování politik",1042
PRVNÍ,I,283/2021,99,vlozeni,41,"V § 41 se slova „funkčního využití,“ nahrazují slovy „stávající nebo plánované“ a za slovo „jejich“ se vkládají slova „využití a“.",0
PRVNÍ,I,283/2021,100,zneni_plny,41,"V § 41 se dosavadní text označuje jako odstavec 1 a doplňuje se odstavec 2, který zní: „(2) Při posuzování souladu s charakterem území se zohledňuje veřejný zájem na zvyšování kvality vystavěného prostředí, architektury a stavební kultury.“.",152
PRVNÍ,I,283/2021,101,doplneni,42,V § 42 se na konci textu odstavce 1 doplňují slova „a organizace podle horního zákona“.,0
PRVNÍ,I,283/2021,102,jine,42;50;53;70;71a;71b;71c;71d,"V § 42 odst. 3 větě první, § 50 odst. 1 úvodní části ustanovení, § 53 odst. 3 úvodní části ustanovení, § 70 odst. 3 větě první, § 71a odst. 1, § 71b odst. 1 úvodní části ustanovení, § 71b odst. 3 větě první, § 71b odst. 4, § 71c odst. 1, § 71d odst. 1 a 2, § 71d odst. 5 větě první, § 71e odst. 3 větě první, § 114 odst. 3 větě druhé, § 128 odst. 4 větě druhé, § 129, § 267 odst. 1, § 268 odst. 2, §",0
PRVNÍ,I,283/2021,103,nahrazeni,42,"V § 42 odst. 4 větě druhé se slovo „na“ nahrazuje slovem „v“. 104. V 42 odst. 5 se věta první zrušuje a ve větě druhé se slova „ministerstvo, které“ nahrazují slovy „Úřad, který“.",0
PRVNÍ,I,283/2021,105,zneni_plny,43,"§ 43 včetně nadpisu zní: „§ 43 Zveřejňování a ukládání dokumentů (1) Orgány územního plánování informují veřejnost a dotčené orgány o své činnosti, zejména o pořizování nástrojů územního plánování podle tohoto zákona; ustanovení části šesté správního řádu o zveřejňování a doručování se nepoužijí. Osobám, které nejsou schopny využít národní geoportál územního plánování, orgány územního plánování um",691
PRVNÍ,I,283/2021,106,zruseni,,V části třetí hlavě II se díl 2 včetně nadpisů zrušuje. Dosavadní díly 3 až 5 se označují jako díly 2 až 4.,0
PRVNÍ,I,283/2021,107,zneni_plny,46,"§ 46 a 47 včetně nadpisů znějí: „§ 46 Pořizovatel (1) Pořizovatelem se v tomto zákoně rozumí orgán územního plánování. (2) Pořizovatel vykonává odbornou územně plánovací činnost prostřednictvím a) státního zaměstnance v oboru specializace, jehož součástí je územní plánování nebo regionální rozvoj, b) úředníka územního samosprávného celku nebo zaměstnance jím zřízené právnické osoby nebo společenst",1084
PRVNÍ,I,283/2021,108,zruseni,48,§ 48 se včetně nadpisu zrušuje.,0
PRVNÍ,I,283/2021,109,nahrazeni,49,"V § 49 odst. 1 se slova „a zastupitelstvo kraje“ nahrazují slovy „ , pro kterou pořizuje územní plán, regulační plán nebo územní studii jiný pořizovatel,“ a slova „územně plánovací dokumentace obce nebo kraje“ se zrušují.",0
PRVNÍ,I,283/2021,110,nahrazeni,49,V § 49 odst. 2 se slovo „Pořizovatel“ nahrazuje slovy „Jiný pořizovatel“.,0
PRVNÍ,I,283/2021,111,vlozeni,49,V § 49 odst. 3 se za slovo „mezi“ vkládá slovo „jiným“.,0
PRVNÍ,I,283/2021,112,zruseni,49,V § 49 se odstavec 4 zrušuje.,0
